Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_07_968.jpg;0;0;0;0;99.66997;85.5891;0.0002326233;39.24825;-4.118921E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_016.jpg;0;0;0;0;99.66997;85.5891;0.0002324712;39.24825;-4.545411E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_071.jpg;0;0;0;0;99.66997;85.5891;0.0002323698;39.24825;-4.829737E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_117.jpg;0;0;0;0;99.66997;85.5891;0.0002322913;39.24825;-5.162259E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_171.jpg;0;0;0;0;99.66997;85.5891;0.0002323599;39.24825;-5.306897E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_219.jpg;0;0;0;0;99.66997;85.5891;0.0002324285;39.24825;-5.451542E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_270.jpg;0;0;0;0;99.66997;85.5891;0.0002324743;39.24825;-5.547972E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_318.jpg;0;0;0;0;99.66997;85.5891;0.0002324971;39.24825;-5.596167E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_370.jpg;0;0;0;0;99.66997;85.5891;0.0002324971;39.24825;-5.596167E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_420.jpg;0;0;0;0;99.66997;85.5891;0.0002325479;39.24825;-5.454017E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_467.jpg;0;0;0;0;99.66997;85.5891;0.000232695;39.24825;-5.266128E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_520.jpg;0;0;0;0;99.66997;85.5891;0.0002329156;39.24825;-4.984263E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_571.jpg;0;0;0;0;99.66997;85.5891;0.000233017;39.24825;-4.699943E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_621.jpg;0;0;0;0;99.66997;85.5891;0.0002331691;39.24825;-4.273474E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_666.jpg;0;0;0;0;99.66997;85.5891;0.0002332704;39.24825;-3.989154E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_720.jpg;0;0;0;0;99.66997;85.5891;0.0002334225;39.24825;-3.562658E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_768.jpg;0;0;0;0;99.66997;85.5891;0.0002334781;39.24825;-3.181915E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_819.jpg;0;0;0;0;99.66997;85.5891;0.0002335616;39.24825;-2.610806E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_869.jpg;0;0;0;0;99.66997;85.5891;0.0002336173;39.24825;-2.230056E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_916.jpg;0;0;0;0;99.66997;85.5891;0.0002337007;39.24825;-1.658922E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_08_967.jpg;0;0;0;0;99.66997;85.5891;0.0002337563;39.24825;-1.278185E-06
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_09_018.jpg;0;0;0;0;99.66997;85.5891;0.0002338398;39.24825;-7.070704E-07
/home/tuanle/Desktop/Udacity/Search_and_return/RoboND-Rover-Project-Main/record_data/IMG/robocam_2018_07_06_16_13_09_070.jpg;0;0;0;0;99.66997;85.5891;0.0002338955;39.24825;-3.263206E-07
